date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
19:00:14	483/483	---MCZ	200	added ('OK')	text/plain	etag:cacheable:f4f0640fd72e0a8a4a038e58a902e8b9	https://www.friendlymailer.com/robots.txt		(from )
19:00:14	135875/135875	---MCZ	200	added ('OK')	text/html	etag:cacheable:0f472f6e9b71c65694bc0242b45636e3	https://www.friendlymailer.com/	/home/glenxo/websites/friendlymailer.com/www.friendlymailer.com/index.html	(from )
19:00:16	0/0	---MC-	301	error ('Moved%20Permanently')	text/html	date:Sat,%2029%20Oct%202022%2000:00:14%20GMT	http://cdn.shopify.com/s/files/1/0272/4593/6745/files/download_32x32.png?v=1616180881	/home/glenxo/websites/friendlymailer.com/cdn.shopify.com/s/files/1/0272/4593/6745/files/download_32x32.06234.delayed	(from https://www.friendlymailer.com/)
19:00:16	1119/1119	---M--	200	added ('OK')	image/png	date:Sat,%2022%20Oct%202022%2021:00:05%20GMT	https://cdn.shopify.com/s/files/1/0272/4593/6745/files/download_32x32.png?v=1616180881	/home/glenxo/websites/friendlymailer.com/cdn.shopify.com/s/files/1/0272/4593/6745/files/download_32x326234.png	(from https://www.friendlymailer.com/)
19:00:17	0/0	---MC-	301	error ('Moved%20Permanently')	text/html	date:Sat,%2029%20Oct%202022%2000:00:17%20GMT	http://cdn.shopify.com/s/files/1/0272/4593/6745/t/14/assets/theme.scss.css?v=135225700836159382051666355950	/home/glenxo/websites/friendlymailer.com/cdn.shopify.com/s/files/1/0272/4593/6745/t/14/assets/theme.scssc6df.css	(from https://www.friendlymailer.com/)
19:00:19	0/0	---MC-	301	error ('Moved%20Permanently')	text/html	date:Sat,%2029%20Oct%202022%2000:00:19%20GMT	http://cdn.shopify.com/s/files/1/0272/4593/6745/t/14/assets/vendor.js?v=25410465201280584561664971230	/home/glenxo/websites/friendlymailer.com/cdn.shopify.com/s/files/1/0272/4593/6745/t/14/assets/vendor6212.js	(from https://www.friendlymailer.com/)
19:00:19	100261/100261	---MCZ	200	added ('OK')	text/css	date:Sat,%2022%20Oct%202022%2019:36:07%20GMT	https://cdn.shopify.com/s/files/1/0272/4593/6745/t/14/assets/theme.scss.css?v=135225700836159382051666355950	/home/glenxo/websites/friendlymailer.com/cdn.shopify.com/s/files/1/0272/4593/6745/t/14/assets/theme.scssc6df.css	(from https://www.friendlymailer.com/)
19:00:21	0/0	---MC-	301	error ('Moved%20Permanently')	text/html	date:Sat,%2029%20Oct%202022%2000:00:21%20GMT	http://cdn.shopify.com/s/files/1/0272/4593/6745/t/14/assets/jquery.lazy.min.js?v=72418453740263649271664971230	/home/glenxo/websites/friendlymailer.com/cdn.shopify.com/s/files/1/0272/4593/6745/t/14/assets/jquery.lazy.min95e4.js	(from https://www.friendlymailer.com/)
19:00:21	141119/141119	---MCZ	200	added ('OK')	text/javascript	date:Thu,%2006%20Oct%202022%2011:44:21%20GMT	https://cdn.shopify.com/s/files/1/0272/4593/6745/t/14/assets/vendor.js?v=25410465201280584561664971230	/home/glenxo/websites/friendlymailer.com/cdn.shopify.com/s/files/1/0272/4593/6745/t/14/assets/vendor6212.js	(from https://www.friendlymailer.com/)
19:00:22	5023/5023	---MCZ	200	added ('OK')	text/javascript	date:Sun,%2016%20Oct%202022%2009:55:45%20GMT	https://cdn.shopify.com/s/files/1/0272/4593/6745/t/14/assets/jquery.lazy.min.js?v=72418453740263649271664971230	/home/glenxo/websites/friendlymailer.com/cdn.shopify.com/s/files/1/0272/4593/6745/t/14/assets/jquery.lazy.min95e4.js	(from https://www.friendlymailer.com/)
19:00:23	0/0	---MC-	301	error ('Moved%20Permanently')	text/html	date:Sat,%2029%20Oct%202022%2000:00:23%20GMT	http://cdn.shopify.com/s/files/1/0272/4593/6745/t/14/assets/theme.js?v=157537847374962509491664971230	/home/glenxo/websites/friendlymailer.com/cdn.shopify.com/s/files/1/0272/4593/6745/t/14/assets/themec705.js	(from https://www.friendlymailer.com/)
19:00:25	52426/52426	---MCZ	200	added ('OK')	text/javascript	date:Thu,%2006%20Oct%202022%2016:15:44%20GMT	https://cdn.shopify.com/s/files/1/0272/4593/6745/t/14/assets/theme.js?v=157537847374962509491664971230	/home/glenxo/websites/friendlymailer.com/cdn.shopify.com/s/files/1/0272/4593/6745/t/14/assets/themec705.js	(from https://www.friendlymailer.com/)
19:00:25	0/0	---MC-	301	error ('Moved%20Permanently')	text/html	date:Sat,%2029%20Oct%202022%2000:00:25%20GMT	http://cdn.shopify.com/shopifycloud/shopify/assets/storefront/load_feature-ab38017af3cf759db0af0bbd1e75229f6a189f5bf1f2db42169630998b969021.js	/home/glenxo/websites/friendlymailer.com/cdn.shopify.com/shopifycloud/shopify/assets/storefront/load_feature-ab38017af3cf759db0af0bbd1e75229f6a189f5bf1f2db42169630998b969021.js	(from https://www.friendlymailer.com/)
19:00:26	10175/10175	---MCZ	200	added ('OK')	text/javascript	date:Fri,%2026%20Aug%202022%2001:43:42%20GMT	https://cdn.shopify.com/shopifycloud/shopify/assets/storefront/load_feature-ab38017af3cf759db0af0bbd1e75229f6a189f5bf1f2db42169630998b969021.js	/home/glenxo/websites/friendlymailer.com/cdn.shopify.com/shopifycloud/shopify/assets/storefront/load_feature-ab38017af3cf759db0af0bbd1e75229f6a189f5bf1f2db42169630998b969021.js	(from https://www.friendlymailer.com/)
19:00:27	0/0	---MC-	301	error ('Moved%20Permanently')	text/html	date:Sat,%2029%20Oct%202022%2000:00:27%20GMT	http://cdn.shopify.com/shopifycloud/shopify/assets/shopify_pay/storefront-c31d2fa4962d2ef90b673e945ee33f4f87302b97d0882cd8e83a629b84b30dab.js?v=20220906	/home/glenxo/websites/friendlymailer.com/cdn.shopify.com/shopifycloud/shopify/assets/shopify_pay/storefront-c31d2fa4962d2ef90b673e945ee33f4f87302b97d0882cd8e83a629b84b30dabb805.js	(from https://www.friendlymailer.com/)
19:00:29	50276/50276	---MCZ	200	added ('OK')	text/javascript	date:Tue,%2025%20Oct%202022%2019:43:39%20GMT	https://cdn.shopify.com/shopifycloud/shopify/assets/shopify_pay/storefront-c31d2fa4962d2ef90b673e945ee33f4f87302b97d0882cd8e83a629b84b30dab.js?v=20220906	/home/glenxo/websites/friendlymailer.com/cdn.shopify.com/shopifycloud/shopify/assets/shopify_pay/storefront-c31d2fa4962d2ef90b673e945ee33f4f87302b97d0882cd8e83a629b84b30dabb805.js	(from https://www.friendlymailer.com/)
19:00:29	0/0	---MC-	301	error ('Moved%20Permanently')	text/html	date:Sat,%2029%20Oct%202022%2000:00:29%20GMT	http://cdn.shopify.com/shopifycloud/shopify/assets/storefront/features-87e8399988880142f2c62771b9d8f2ff6c290b3ff745dd426eb0dfe0db9d1dae.js	/home/glenxo/websites/friendlymailer.com/cdn.shopify.com/shopifycloud/shopify/assets/storefront/features-87e8399988880142f2c62771b9d8f2ff6c290b3ff745dd426eb0dfe0db9d1dae.js	(from https://www.friendlymailer.com/)
